wavelength,Intensity
777.0,0.31229949826389386
778.0,0.28571716254406876
779.0,5.024966365180882
780.0,2.2440253857393406
781.0,0.948985958737366
782.0,0.5474058010853455
783.0,0.3900880374252172
784.0,0.37036369021274806
785.0,0.4042780236212317
786.0,0.505445810547084
787.0,0.8536546239782072
788.0,1.6089037248200073
789.0,2.253619835732809
790.0,2.933148041318517
791.0,3.710527100620323
792.0,8.019189695822584
793.0,6.208280263552353
794.0,5.862435241192649
795.0,6.328960508159521
796.0,6.814024003489707
797.0,9.696730243726517
798.0,4.368857344868255
799.0,3.193088170689239
800.0,2.128303600482291
801.0,1.337227152142762
802.0,0.9540232252095381
803.0,0.8531961518616691
804.0,0.9946164761895425
805.0,1.4323088649713909
