wavelength,Intensity
777.980634624614,2356.9
778.2127452710436,2353.6
778.4448172414023,2353.65
778.6768505301426,2353.65
778.9088451317166,2366.5
779.1408010405767,2377.1
779.3727182511752,2395.1
779.6045967579645,2417.9
779.8364365553969,2437.45
780.0682376379245,2453.3
780.3,2458.4
780.5317236360754,2451.9
780.763408540603,2437.3
780.9950547080354,2419.05
781.2266621328247,2398.65
781.4582308094232,2381.1
781.6897607322833,2368.75
781.9212518958574,2363.8
782.1527042945976,2366.95
782.3841179229564,2377.2
782.6154927753859,2394.35
782.8468288463387,2414.4
783.078126130267,2436.25
783.3093846216229,2454.45
783.5406043148591,2462.9
783.7717852044276,2459.15
784.0029272847811,2444.6
784.2340305503712,2421.5
784.4650949956512,2394.95
784.6961206150725,2374.75
784.9271074030879,2368.1
785.1580553541498,2381.85
785.3889644627101,2413.5
785.6198347232215,2458.25
785.850666130136,2502.95
786.0814586779062,2536.3
786.3122123609843,2552.05
786.5429271738226,2542.25
786.7736031108734,2510.9
787.0042401665892,2467.45
787.234838335422,2428.3
787.4653976118242,2399.95
787.6959179902484,2381.4
787.9263994651466,2374.7
788.1568420309713,2378.35
788.3872456821746,2393.5
788.6176104132091,2420.8
788.8479362185269,2453.6
789.0782230925805,2481.7
789.308471029822,2499.25
789.538680024704,2507.0
789.7688500716783,2497.1
789.998981165198,2470.65
790.2290732997147,2438.8
790.459126469681,2409.75
790.6891406695493,2388.7
790.9191158937716,2375.55
791.1490521368006,2370.8
791.3789493930885,2371.75
791.6088076570875,2379.0
791.8386269232499,2391.55
792.0684071860283,2405.5
792.2981484398747,2414.25
792.5278506792415,2421.8
792.7575138985811,2423.9
792.9871380923456,2416.25
793.2167232549878,2402.1
793.4462693809594,2387.5
793.6757764647132,2376.2
793.9052445007012,2367.35
794.134673483376,2363.2
794.3640634071896,2361.85
794.5934142665946,2363.55
794.8227260560432,2365.7
795.0519987699876,2369.15
795.2812324028802,2373.95
795.5104269491734,2376.15
795.7395824033196,2376.5
795.9686987597706,2373.9
796.1977760129795,2370.1
796.426814157398,2366.2
796.6558131874785,2362.75
796.8847730976737,2359.2
797.1136938824355,2357.35
797.3425755362165,2356.65
797.5714180534687,2356.7
797.8002214286447,2356.6
798.0289856561966,2357.4
798.2577107305771,2357.55
798.486396646238,2357.4
798.7150433976319,2356.85
798.9436509792112,2356.75
799.172219385428,2357.05
799.4007486107348,2356.8
799.6292386495836,2355.9
799.8576894964272,2355.25
800.0861011457175,2355.4
800.3144735919071,2354.85
800.5428068294481,2355.45
800.771100852793,2354.9
800.999355656394,2355.5
801.2275712347034,2355.15
801.4557475821734,2354.9
801.6838846932567,2355.1
801.9119825624055,2354.95
