wavelength,Intensity
777.980634624614,2353.45
778.2127452710436,2350.65
778.4448172414023,2350.35
778.6768505301426,2349.9
778.9088451317166,2352.95
779.1408010405767,2352.45
779.3727182511752,2352.65
779.6045967579645,2352.4
779.8364365553969,2352.65
780.0682376379245,2352.8
780.3,2352.8
780.5317236360754,2352.9
780.763408540603,2352.85
780.9950547080354,2353.25
781.2266621328247,2353.35
781.4582308094232,2353.15
781.6897607322833,2354.2
781.9212518958574,2353.5
782.1527042945976,2353.95
782.3841179229564,2353.95
782.6154927753859,2355.35
782.8468288463387,2355.0
783.078126130267,2355.8
783.3093846216229,2355.65
783.5406043148591,2356.0
783.7717852044276,2356.05
784.0029272847811,2357.0
784.2340305503712,2358.05
784.4650949956512,2359.05
784.6961206150725,2360.2
784.9271074030879,2361.8
785.1580553541498,2363.8
785.3889644627101,2366.3
785.6198347232215,2369.1
785.850666130136,2373.2
786.0814586779062,2376.85
786.3122123609843,2380.05
786.5429271738226,2383.75
786.7736031108734,2386.3
787.0042401665892,2388.9
787.234838335422,2389.0
787.4653976118242,2389.6
787.6959179902484,2389.65
787.9263994651466,2391.8
788.1568420309713,2401.8
788.3872456821746,2427.65
788.6176104132091,2486.05
788.8479362185269,2604.85
789.0782230925805,2798.75
789.308471029822,3097.5
789.538680024704,3550.7
789.7688500716783,4278.75
789.998981165198,5201.6
790.2290732997147,6095.4
790.459126469681,6949.5
790.6891406695493,7654.05
790.9191158937716,8028.15
791.1490521368006,8095.45
791.3789493930885,8035.2
791.6088076570875,7665.4
791.8386269232499,7008.9
792.0684071860283,6209.8
792.2981484398747,5371.7
792.5278506792415,4505.6
792.7575138985811,3708.5
792.9871380923456,3139.8
793.2167232549878,2779.55
793.4462693809594,2573.6
793.6757764647132,2470.4
793.9052445007012,2428.15
794.134673483376,2420.45
794.3640634071896,2430.35
794.5934142665946,2452.45
794.8227260560432,2480.2
795.0519987699876,2500.2
795.2812324028802,2505.95
795.5104269491734,2493.25
795.7395824033196,2472.7
795.9686987597706,2443.9
796.1977760129795,2414.2
796.426814157398,2391.0
796.6558131874785,2377.1
796.8847730976737,2369.5
797.1136938824355,2365.15
797.3425755362165,2364.3
797.5714180534687,2365.55
797.8002214286447,2368.6
798.0289856561966,2371.8
798.2577107305771,2374.75
798.486396646238,2376.0
798.7150433976319,2373.6
798.9436509792112,2368.85
799.172219385428,2364.9
799.4007486107348,2361.25
799.6292386495836,2358.65
799.8576894964272,2358.4
800.0861011457175,2356.8
800.3144735919071,2355.85
800.5428068294481,2355.65
800.771100852793,2355.8
800.999355656394,2355.7
801.2275712347034,2356.1
801.4557475821734,2356.05
801.6838846932567,2355.55
801.9119825624055,2355.3
802.1400411840717,2354.85
802.3680605527081,2354.85
802.5960406627668,2354.3
802.8239815087002,2353.75
803.0518830849603,2353.4
803.279745386,2353.95
803.5075684062712,2353.9
803.7353521402263,2353.85
803.9630965823177,2354.3
804.1908017269975,2353.65
804.4184675687183,2353.25
804.6460941019321,2352.95
804.8736813210916,2353.25
805.1012292206487,2352.65
805.3287377950561,2352.0
805.5562070387659,2352.75
805.7836369462306,2352.35
806.0110275119021,2352.75
806.2383787302332,2352.45
806.465690595676,2352.85
806.6929631026827,2353.1
806.9201962457059,2352.9
807.1473900191976,2352.7
807.3745444176103,2352.3
807.6016594353963,2352.1
807.828735067008,2352.65
808.0557713068974,2352.45
808.2827681495173,2352.15
808.5097255893195,2352.7
808.7366436207568,2352.15
808.9635222382813,2352.6
809.190361436345,2352.55
809.4171612094008,2352.35
809.6439215519006,2352.8
809.870642458297,2351.95
810.0973239230419,2352.0
810.3239659405881,2351.75
810.5505685053876,2352.4
810.7771316118929,2351.9
811.0036552545562,2351.85
811.2301394278297,2351.5
811.456584126166,2351.95
811.6829893440172,2351.65
811.9093550758357,2352.05
812.1356813160738,2351.9
812.3619680591839,2352.0
812.5882152996182,2351.85
812.8144230318292,2352.35
813.0405912502688,2352.1
813.2667199493898,2352.5
813.4928091236443,2352.25
813.7188587674844,2352.6
813.9448688753629,2352.45
814.1708394417317,2352.0
814.3967704610434,2352.4
814.6226619277498,2352.65
814.848513836304,2352.05
815.0743261811577,2351.95
815.3000989567637,2351.8
815.5258321575737,2351.85
815.7515257780407,2351.35
815.9771798126166,2351.75
816.2027942557536,2351.6
816.4283691019044,2351.45
816.653904345521,2352.2
816.8793999810559,2351.95
817.1048560029615,2351.4
817.3302724056898,2351.75
817.5556491836933,2351.15
817.7809863314243,2352.05
818.0062838433353,2352.1
818.2315417138783,2352.2
818.4567599375058,2351.5
818.6819385086699,2352.35
818.9070774218233,2352.25
819.1321766714179,2351.5
819.3572362519064,2351.55
819.5822561577409,2352.1
819.8072363833737,2352.15
820.0321769232571,2352.25
820.2570777718437,2351.8
820.4819389235855,2351.7
