wavelength,Intensity
777.980634624614,2356.95
778.2127452710436,2353.3
778.4448172414023,2353.2
778.6768505301426,2352.9
778.9088451317166,2370.55
779.1408010405767,2370.8
779.3727182511752,2370.65
779.6045967579645,2371.3
779.8364365553969,2371.85
780.0682376379245,2372.25
780.3,2372.7
780.5317236360754,2372.8
780.763408540603,2372.75
780.9950547080354,2372.8
781.2266621328247,2373.5
781.4582308094232,2374.15
781.6897607322833,2374.8
781.9212518958574,2375.6
782.1527042945976,2376.65
782.3841179229564,2377.2
782.6154927753859,2378.7
782.8468288463387,2379.85
783.078126130267,2380.65
783.3093846216229,2381.5
783.5406043148591,2383.75
783.7717852044276,2384.8
784.0029272847811,2386.9
784.2340305503712,2389.15
784.4650949956512,2391.65
784.6961206150725,2394.55
784.9271074030879,2398.2
785.1580553541498,2403.75
785.3889644627101,2409.75
785.6198347232215,2418.25
785.850666130136,2425.9
786.0814586779062,2436.75
786.3122123609843,2450.35
786.5429271738226,2466.9
786.7736031108734,2483.6
787.0042401665892,2501.8
787.234838335422,2524.0
787.4653976118242,2547.15
787.6959179902484,2565.7
787.9263994651466,2581.75
788.1568420309713,2595.15
788.3872456821746,2604.4
788.6176104132091,2607.9
788.8479362185269,2618.6
789.0782230925805,2663.15
789.308471029822,2782.7
789.538680024704,3063.8
789.7688500716783,3660.45
789.998981165198,4759.8
790.2290732997147,6580.55
790.459126469681,9307.95
790.6891406695493,13408.05
790.9191158937716,18874.3
791.1490521368006,25057.55
791.3789493930885,31655.5
791.6088076570875,39127.3
791.8386269232499,45462.8
792.0684071860283,47471.85
792.2981484398747,46052.0
792.5278506792415,43941.0
792.7575138985811,40483.45
792.9871380923456,34259.95
793.2167232549878,26060.95
793.4462693809594,18909.05
793.6757764647132,12968.1
793.9052445007012,8571.85
794.134673483376,5714.7
794.3640634071896,4119.85
794.5934142665946,3274.35
794.8227260560432,2885.35
795.0519987699876,2763.05
795.2812324028802,2778.9
795.5104269491734,2864.7
795.7395824033196,2964.3
795.9686987597706,3030.15
796.1977760129795,3026.25
796.426814157398,2977.1
796.6558131874785,2878.7
796.8847730976737,2759.95
797.1136938824355,2643.4
797.3425755362165,2549.2
797.5714180534687,2485.95
797.8002214286447,2448.9
798.0289856561966,2429.7
798.2577107305771,2420.6
798.486396646238,2416.85
798.7150433976319,2417.15
798.9436509792112,2416.8
799.172219385428,2417.1
799.4007486107348,2414.75
799.6292386495836,2411.25
799.8576894964272,2404.25
800.0861011457175,2399.0
800.3144735919071,2392.65
800.5428068294481,2388.7
800.771100852793,2385.75
800.999355656394,2383.15
801.2275712347034,2381.65
801.4557475821734,2379.8
